#                           1                            2                            3                            4                            5 
#              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
#                        6794      1.3000000000000000E+001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 
#
#                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11 
#                    model_number                         star_age                        star_mass                       delta_mass                        star_mdot                         log_Teff                            log_L                            log_R                            log_g                       center_he4                       surface_h1 
                              72          1.5666076272447901E+006          1.2997536294024298E+001         -2.4637059757015578E-003         -1.6186096296382221E-009          4.4520348264570586E+000          4.1141992062301647E+000          6.7628878665359093E-001          4.1991728189272726E+000          2.9981790103000022E-001          7.2007245698377220E-001 
                              73          1.7234325024533595E+006          1.2997280056187483E+001         -2.7199438125169451E-003         -1.6339106693097011E-009          4.4517190108754381E+000          4.1168227738502621E+000          6.7823220162688014E-001          4.1952774270676505E+000          3.0294440718893562E-001          7.2007244112684743E-001 
                              74          1.8959398651827860E+006          1.2996995142529213E+001         -3.0048574707866038E-003         -1.6516028867466985E-009          4.4514051988884002E+000          4.1197400819738084E+000          6.8031847966273007E-001          4.1910953507128372E+000          3.0635215203700672E-001          7.2007240312450604E-001 
                              75          2.0856979641851550E+006          1.2996677838147795E+001         -3.3221618522052410E-003         -1.6721519823739081E-009          4.4510903822968224E+000          4.1229839249537150E+000          6.8257003433583907E-001          4.1865816385139913E+000          3.1006831673513635E-001          7.2007230860749416E-001 
                              76          2.2944318730877615E+006          1.2996323840342059E+001         -3.6761596579406586E-003         -1.6959285992249573E-009          4.4507807244122457E+000          4.1265921915231036E+000          6.8499348338968769E-001          4.1817229111227388E+000          3.1412543790702585E-001          7.2007207460241174E-001 
                              77          2.5240391728806277E+006          1.2995928113608489E+001         -4.0718863915110148E-003         -1.7234936952234705E-009          4.4504801941462393E+000          4.1306079720865077E+000          6.8760243420340106E-001          4.1764917854055295E+000          3.1855338355850588E-001          7.2007151098569333E-001 
                              78          2.7766072026527808E+006          1.2995484733491127E+001         -4.5152665088732391E-003         -1.7554878888046241E-009          4.4501834330435193E+000          4.1350831254558784E+000          6.9043353309352784E-001          4.1708147706132497E+000          3.2338140431804718E-001          7.2007020439307456E-001 
                              79          3.0544320354021494E+006          1.2994986714641827E+001         -5.0132853581725811E-003         -1.7925642008698013E-009          4.4498929526675486E+000          4.1400727777903317E+000          6.9350932001269472E-001          4.1646465532262527E+000          3.2866237477130250E-001          7.2006730212128733E-001 
                              80          3.3600393514264552E+006          1.2994425742346056E+001         -5.5742576539437039E-003         -1.8355983851076486E-009          4.4495368862954709E+000          4.1455803667442765E+000          6.9697524723382331E-001          4.1576959505977484E+000          3.3483997038701879E-001          7.2006113297576657E-001 
                              81          3.6962073990531913E+006          1.2993792521545902E+001         -6.2074784540975259E-003         -1.8836436259275257E-009          4.4492898875587574E+000          4.1518313147352490E+000          7.0059471870273549E-001          4.1504358438928204E+000          3.4111599340426957E-001          7.2004858380337222E-001 
                              82          4.0659922514426010E+006          1.2993074107774373E+001         -6.9258922256274502E-003         -1.9427885347036351E-009          4.4490527119423362E+000          4.1588058362121529E+000          7.0455633067402945E-001          4.1424886075795815E+000          3.4804617448275221E-001          7.2002410357911639E-001 
                              83          4.4727555890709516E+006          1.2992255787030906E+001         -7.7442129690936667E-003         -2.0117858906246581E-009          4.4486548239199530E+000          4.1665309050080523E+000          7.0921464111674504E-001          4.1331446334002067E+000          3.5648251829825311E-001          7.1997825150766348E-001 
                              84          4.9201952604621379E+006          1.2991321371360264E+001         -8.6786286397355639E-003         -2.0883612482073532E-009          4.4483409501544058E+000          4.1752430123054340E+000          7.1419844229653229E-001          4.1231457950358843E+000          3.6555459734861967E-001          7.1989567039002045E-001 
                              85          5.4123788989924425E+006          1.2990247818401620E+001         -9.7521815983796500E-003         -2.1812040762808023E-009          4.4474980528801833E+000          4.1847853309680492E+000          7.2065539617628294E-001          4.1101959973635891E+000          3.7832528453634762E-001          7.1975242829054831E-001 
