#                           1                            2                            3                            4                            5 
#             version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
#                        6794      3.6000000000000000E+001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 
#
#                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11 
#                    model_number                         star_age                        star_mass                       delta_mass                        star_mdot                         log_Teff                            log_L                            log_R                            log_g                       center_he4                       surface_h1 
                              64          5.7200561786598839E+004          3.5980423745707107E+001         -1.9576254292893225E-002         -3.4053632301621042E-007          4.6215814763210314E+000          5.2434726110223338E+000          9.0183218932173015E-001          4.1902912485468082E+000          2.7048632251040666E-001          7.2013290253842466E-001 
                              65          6.2933478047563251E+004          3.5978470428775694E+001         -2.1529571224306210E-002         -3.4071959932693203E-007          4.6214036340208819E+000          5.2436902756996799E+000          9.0229670626070246E-001          4.1893386369089587E+000          2.7093577170990596E-001          7.2013290253319706E-001 
                              66          6.9239685934624111E+004          3.5976320400234350E+001         -2.3679599765650039E-002         -3.4093841811918554E-007          4.6211894778950748E+000          5.2439290048938139E+000          9.0284438310938286E-001          4.1882173295392722E+000          2.7142802659911314E-001          7.2013290252614137E-001 
                              67          7.6176514610391052E+004          3.5973953563041938E+001         -2.6046436958061747E-002         -3.4119873836293788E-007          4.6209804528625975E+000          5.2441942681086413E+000          9.0339506478175091E-001          4.1870873935630240E+000          2.7196703148578155E-001          7.2013290251657835E-001 
                              68          8.3807026153734696E+004          3.5971347695501613E+001         -2.8652304498386627E-002         -3.4150627064987678E-007          4.6207525963931877E+000          5.2444881241682317E+000          9.0399770575036709E-001          4.1858506512281268E+000          2.7255702220325895E-001          7.2013290250358242E-001 
                              69          9.2200588851412700E+004          3.5968478265598897E+001         -3.1521734401103174E-002         -3.4186078141949375E-007          4.6205161287004222E+000          5.2448137162028656E+000          9.0463343715321498E-001          4.1845445434241437E+000          2.7320263984115639E-001          7.2013290248576545E-001 
                              70          1.0143350781885850E+005          3.5965318073064950E+001         -3.4681926935050456E-002         -3.4227447951011532E-007          4.6202630555791462E+000          5.2451749478368699E+000          9.0532019921276785E-001          4.1831328604909617E+000          2.7390899778733824E-001          7.2013290246086814E-001 
                              71          1.1158971868304889E+005          3.5961836961362700E+001         -3.8163038637300417E-002         -3.4275693453049338E-007          4.6200066896491565E+000          5.2455749030935781E+000          9.0603290870110176E-001          4.1816654037719800E+000          2.7468422960282518E-001          7.2013290242412664E-001 
                              72          1.2276155063365831E+005          3.5958001492280431E+001         -4.1998507719569034E-002         -3.4331603798032820E-007          4.6197289705203941E+000          5.2460194011110843E+000          9.0681059596737990E-001          4.1800637075819971E+000          2.7552934568353554E-001          7.2013290236319361E-001 
                              73          1.3505056577932867E+005          3.5953774514903280E+001         -4.6225485096719865E-002         -3.4396388376496935E-007          4.6194411372861639E+000          5.2465126528604165E+000          9.0763288831050593E-001          4.1783680671979422E+000          2.7645239424968898E-001          7.2013290224046944E-001 
                              74          1.4856848243956608E+005          3.5949114797014758E+001         -5.0885202985242017E-002         -3.4470680694696905E-007          4.6191554578145944E+000          5.2470616565279746E+000          9.0847874908742621E-001          4.1766200561183702E+000          2.7746107899822131E-001          7.2013290193852220E-001 
                              75          1.6343819076582725E+005          3.5943976441082100E+001         -5.6023558917900118E-002         -3.4555862293463543E-007          4.6188448189317937E+000          5.2476668117713929E+000          9.0940260447473387E-001          4.1747102653971853E+000          2.7856530041235966E-001          7.2013290108501260E-001 
                              76          1.7979486992471450E+005          3.5938308379616096E+001         -6.1691620383903967E-002         -3.4652886511680508E-007          4.6185290637006027E+000          5.2483373734103251E+000          9.1036939575658293E-001          4.1727081928618892E+000          2.7977321890667090E-001          7.2013289861694552E-001 
                              77          1.9778721699949051E+005          3.5932053734606868E+001         -6.7946265393132421E-002         -3.4762807671730128E-007          4.6182067071770510E+000          5.2490816777911729E+000          9.1138626099410913E-001          4.1705988719002791E+000          2.8109446949098388E-001          7.2013289151239424E-001 
                              78          2.1757879878174409E+005          3.5925148798672822E+001         -7.4851201327177819E-002         -3.4888246983049616E-007          4.6178680391618823E+000          5.2499058247627763E+000          9.1247567051025025E-001          4.1683365880105416E+000          2.8253966191110835E-001          7.2013287177405083E-001 
                              79          2.3934953874222306E+005          3.5917519413809266E+001         -8.2480586190733618E-002         -3.5044214746037243E-007          4.6174988830927264E+000          5.2508187739435952E+000          9.1367045723897122E-001          4.1658547741104375E+000          2.8412087418881549E-001          7.2013281952456576E-001 
                              80          2.6329735269874992E+005          3.5909087691695518E+001         -9.0912308304481826E-002         -3.5208733995726323E-007          4.6171302800473999E+000          5.2518310056172801E+000          9.1491377916646521E-001          4.1632661666363573E+000          2.8585302156490289E-001          7.2013268797029428E-001 
                              81          2.8963994805092941E+005          3.5899764557908036E+001         -1.0023544209196444E-001         -3.5391857418921376E-007          4.6167528922245493E+000          5.2529401489907812E+000          9.1622312649891802E-001          4.1605347007613895E+000          2.8777735858854647E-001          7.2013237364271332E-001 
                              82          3.1861680293832690E+005          3.5889450203318056E+001         -1.1054979668194420E-001         -3.5595148714582551E-007          4.6163621617194162E+000          5.2541830451910743E+000          9.1762603560933087E-001          4.1576040875465372E+000          2.8985607209556480E-001          7.2013165805966461E-001 
                              83          3.5049134331446415E+005          3.5878030507583333E+001         -1.2196949241666744E-001         -3.5827013032858874E-007          4.6159816918697363E+000          5.2555646977585493E+000          9.1907780159242836E-001          4.1545623450472338E+000          2.9212477691322136E-001          7.2013010830916568E-001 
                              84          3.8555333772821515E+005          3.5865376804746049E+001         -1.3462319525395117E-001         -3.6089512444603104E-007          4.6155766852936768E+000          5.2570981295795782E+000          9.2065453065506064E-001          4.1512556900337607E+000          2.9459952988109317E-001          7.2012690831382775E-001 
                              85          4.2412153158334125E+005          3.5851343568118999E+001         -1.4865643188100108E-001         -3.6385516728536293E-007          4.6151964490454027E+000          5.2587990071462256E+000          9.2226544193493365E-001          4.1478639055104320E+000          2.9730386742926584E-001          7.2012059222748159E-001 
                              86          4.6654654482397996E+005          3.5835765544669144E+001         -1.6423445533085612E-001         -3.6718959547511662E-007          4.6147845240517515E+000          5.2606886085358715E+000          9.2403409261705927E-001          4.1441378547374388E+000          3.0025765638404450E-001          7.2010862890129090E-001 
                              87          5.1321405938868254E+005          3.5818453735868538E+001         -1.8154626413146246E-001         -3.7096059136832964E-007          4.6143974834070276E+000          5.2628072884199755E+000          9.2586751384855859E-001          4.1402611593654095E+000          3.0342807159298429E-001          7.2008693236403332E-001 
                              88          5.6454832540985534E+005          3.5799189246654066E+001         -2.0081075334593379E-001         -3.7527543895390884E-007          4.6139962711192606E+000          5.2651153794731300E+000          9.2782398395067078E-001          4.1361145766894172E+000          3.0699973119123813E-001          7.2004888593147853E-001 
                              89          6.2101601803314546E+005          3.5777729245720778E+001         -2.2227075427922216E-001         -3.8004033698451821E-007          4.6135771182880498E+000          5.2676827728052498E+000          9.2994598627915226E-001          4.1316101539965144E+000          3.1090063388592892E-001          7.1998459697667805E-001 
                              90          6.8313047991876455E+005          3.5753787245523689E+001         -2.4621275447631064E-001         -3.8544969191202472E-007          4.6131711679219105E+000          5.2705383344260648E+000          9.3218566782183832E-001          4.1268400692972396E+000          3.1516951924625330E-001          7.1987955550129856E-001 
                              91          7.5145638799294550E+005          3.5727031853769525E+001         -2.7296814623047538E-001         -3.9158486887762565E-007          4.6127674141566128E+000          5.2737019723214287E+000          9.3457499430011437E-001          4.1217363020040292E+000          3.1989387773403144E-001          7.1971263366858695E-001 
                              92          8.2661488687454467E+005          3.5697079166141570E+001         -3.0292083385842972E-001         -3.9852695401944779E-007          4.6123745767091631E+000          5.2772478814062422E+000          9.3713362373742148E-001          4.1162547883271685E+000          3.2500126570173049E-001          7.1945523284015445E-001 
                              93          9.0928923564430373E+005          3.5663471329027445E+001         -3.3652867097255523E-001         -4.0650864039720302E-007          4.6119857854118740E+000          5.2811665199897355E+000          9.3987052562374607E-001          4.1103719154207976E+000          3.3065435872580190E-001          7.1906878356762816E-001 
